ligand,ligandName,protein_path
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_10.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_132.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_137.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_15.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_153.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_155.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_156.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_157.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_16.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_162.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_18.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_185.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
/gxr/luwei/dynamicbind/CASF/decoys_screening/3nw9/4k18/4k18_ligand_188.sdf,4k18,/gxr/luwei/CASF/CASF-2016/processed_coreset/cleaned_proteins/3nw9_protein.pdb
